Data_Hora,Instancia,Algoritmo,Parametros_Algoritmo,Semente_Mestra,Tempo_Medio_ms,Media_NetProfit,Media_Custo_Equivalente,LB_Cost_Paper,Gap(%),Melhor_NetProfit,Melhor_Custo_Equivalente,Alpha_Melhor_Custo
2026-07-13 15:43:55,K400.7,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.12457,7464.61,535641.39,474466,8.660,27553,515553,0.100000
2026-07-13 15:43:55,K400.7,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.13209,8403.50,534702.50,474466,7.757,31835,511271,0.300000
2026-07-13 15:43:55,K400.7,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.13968,6864.65,536241.35,474466,8.446,28566,514540,0.500000
2026-07-13 15:43:55,K400.7,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.13045,7067.33,536038.67,474466,9.275,24632,518474,0.800000
2026-07-13 15:43:55,K400.7,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.91426,7747.55,535358.45,474466,6.837,36202,506904,0.500000
2026-07-13 15:43:55,K400.4,Guloso Puro,"N/A",2537033304,0.00271,4182.40,428896.60,389451,7.596,14045,419034,N/A
2026-07-13 15:43:55,K400.4,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.10215,6010.08,427068.92,389451,5.526,22107,410972,0.100000
2026-07-13 15:43:55,K400.4,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.10317,5112.73,427966.27,389451,3.539,29844,403235,0.300000
2026-07-13 15:43:55,K400.4,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.12363,4856.90,428222.10,389451,3.539,29844,403235,0.500000
2026-07-13 15:43:55,K400.4,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.12686,5527.17,427551.83,389451,5.526,22107,410972,0.800000
2026-07-13 15:43:55,K400.4,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.90006,5335.25,427743.75,389451,3.539,29844,403235,0.800000
2026-07-13 15:43:55,K100.9,Guloso Puro,"N/A",2537033304,0.00176,3692.50,142759.50,122917,1.268,21977,124475,N/A
2026-07-13 15:43:55,K100.9,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.08962,5334.83,141117.17,122917,0.000,23535,122917,0.100000
2026-07-13 15:43:55,K100.9,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.07985,5868.81,140583.19,122917,0.000,23535,122917,0.300000
2026-07-13 15:43:55,K100.9,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.07869,4882.92,141569.08,122917,0.000,23535,122917,0.500000
2026-07-13 15:43:55,K100.9,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.06263,5688.30,140763.70,122917,0.000,23535,122917,0.800000
2026-07-13 15:43:55,K100.9,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.29670,5400.42,141051.58,122917,0.000,23535,122917,0.100000
2026-07-13 15:43:55,K100.8,Guloso Puro,"N/A",2537033304,0.00203,18467.10,250166.90,210869,9.806,37087,231547,N/A
2026-07-13 15:43:55,K100.8,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.06580,12538.29,256095.71,210869,2.612,52257,216377,0.100000
2026-07-13 15:43:55,K100.8,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.06419,12897.77,255736.23,210869,2.612,52257,216377,0.300000
2026-07-13 15:43:55,K100.8,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.06254,12345.98,256288.02,210869,2.612,52257,216377,0.500000
2026-07-13 15:43:55,K100.8,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.06434,12679.09,255954.91,210869,2.612,52257,216377,0.800000
2026-07-13 15:43:55,K100.8,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.30218,12681.97,255952.03,210869,2.612,52257,216377,0.300000
2026-07-13 15:43:55,K400.6,Guloso Puro,"N/A",2537033304,0.00267,3814.60,400253.40,374849,1.668,22967,381101,N/A
2026-07-13 15:43:55,K400.6,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.10831,4575.62,399492.38,374849,0.904,25832,378236,0.100000
2026-07-13 15:43:55,K400.6,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.12829,5019.91,399048.09,374849,1.668,22967,381101,0.300000
2026-07-13 15:43:55,K400.6,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.11848,4506.57,399561.43,374849,1.668,22967,381101,0.500000
2026-07-13 15:43:55,K400.6,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.10007,3778.36,400289.64,374849,1.668,22967,381101,0.800000
2026-07-13 15:43:55,K400.6,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.70948,4794.10,399273.90,374849,0.580,27044,377024,0.100000
2026-07-13 15:43:55,K100.1,Guloso Puro,"N/A",2537033304,0.00169,5599.80,143730.20,124108,1.262,23656,125674,N/A
2026-07-13 15:43:55,K100.1,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.06368,5866.62,143463.38,124108,0.000,25222,124108,0.100000
2026-07-13 15:43:55,K100.1,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.05967,6025.40,143304.60,124108,0.000,25222,124108,0.300000
2026-07-13 15:43:55,K100.1,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.05647,5652.64,143677.36,124108,0.000,25222,124108,0.500000
2026-07-13 15:43:55,K100.1,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.06018,6016.01,143313.99,124108,0.000,25222,124108,0.800000
2026-07-13 15:43:55,K100.1,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.27081,5292.08,144037.92,124108,0.000,25222,124108,0.800000
2026-07-13 15:43:55,K100.7,Guloso Puro,"N/A",2537033304,0.00130,6303.10,205584.90,172457,7.725,26108,185780,N/A
2026-07-13 15:43:55,K100.7,Guloso Randomizado Alpha Fixo,"alpha=0.100000; iter=30",2537033304,0.08288,9252.85,202635.15,172457,0.000,39431,172457,0.100000
2026-07-13 15:43:55,K100.7,Guloso Randomizado Alpha Fixo,"alpha=0.300000; iter=30",2537033304,0.07296,10367.48,201520.52,172457,0.000,39431,172457,0.300000
2026-07-13 15:43:55,K100.7,Guloso Randomizado Alpha Fixo,"alpha=0.500000; iter=30",2537033304,0.09101,9285.96,202602.04,172457,0.000,39431,172457,0.500000
2026-07-13 15:43:55,K100.7,Guloso Randomizado Alpha Fixo,"alpha=0.800000; iter=30",2537033304,0.06795,9473.74,202414.26,172457,0.000,39431,172457,0.800000
2026-07-13 15:43:55,K100.7,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",2537033304,0.34221,9590.03,202297.97,172457,0.000,39431,172457,0.300000
2026-07-13 15:43:55,K400.1,Guloso Puro,"N/A",2537033304,0.00285,3323.90,519315.10,490771,3.112,16596,506043,N/A
